PersonID,registered,party_reg,vote_intent,right_track,rcv_familiarity,most_important_issue,rcv_difficulty,ideo_self_id,education,age_cat,gender,borough,method_combined,morales_combined,stringer_combined,wiley_combined,garcia_combined,adams_combined,donovan_combined,yang_combined,other_combined,impact_of_rcv_exp,race,age_weight,gender_weight,edu_weight,boro_weight,race_weight,weight,age,morales,stringer,wiley,garcia,adams,donovan,yang,other
728,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Education/Schools,Easy,Somewhat conservative,Graduate or professional degree,65+,Female,Queens,Vote by absentee ballot,Not Ranked,Not Ranked,Not Ranked,1,2,Not Ranked,4,Not Ranked,No change,White,4,1,3,4,1,0.93066762,2,,,,1,2,,4,
746,Yes,The Democratic party,I have already voted,Not sure,Moderately familiar,Crime,Not sure,Moderate,Four-year college graduate (bachelors degree),35-54,Male,Queens,Vote early in-person,Not Ranked,3,Not Ranked,4,1,5,2,Not Ranked,No change,AAPI,2,2,2,4,4,1.195847309,1,,3,,4,1,5,2,
298,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Not sure,Very conservative,"Some college, but no degree",35-54,Female,Queens,Vote by absentee ballot,2,5,Not Ranked,Not Ranked,3,4,1,Not Ranked,Much less likely,Black,2,1,1,4,3,1.395475124,1,2,5,,,3,4,1,
926,Yes,The Democratic party,I have already voted,Wrong track,Not too familiar,Homelessness,Easy,Very conservative,High school graduate,35-54,Male,Bronx,Vote by absentee ballot,Not Ranked,Not Ranked,Not Ranked,Not Ranked,1,Not Ranked,Not Ranked,Not Ranked,Somewhat more likely,Black,2,2,1,1,3,1.005685382,1,,,,,1,,,
635,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Easy,Somewhat conservative,Four-year college graduate (bachelors degree),65+,Female,Manhattan,Vote by absentee ballot,Not Ranked,Not Ranked,Not Ranked,2,1,5,4,Not Ranked,No change,White,4,1,2,3,1,0.831163004,2,,,,2,1,5,4,
254,Yes,The Democratic party,I have already voted,Wrong track,Not too familiar,Healthcare,Very easy,Very liberal or progressive,"Some college, but no degree",55-64,Male,Queens,Vote by absentee ballot,2,3,1,5,Not Ranked,4,Not Ranked,Not Ranked,Much more likely,White,3,2,1,4,1,1.278030677,2,2,3,1,5,,4,,
261,Yes,The Democratic party,I have already voted,Not sure,Very familiar,Housing,Very easy,Somewhat liberal or progressive,Associates or other two-year degree,65+,Female,Brooklyn,Vote by absentee ballot,Not Ranked,Not Ranked,3,Not Ranked,2,Not Ranked,1,Not Ranked,No change,White,4,1,1,2,1,1.195492946,2,,,3,,2,,1,
464,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Very Hard,Moderate,Four-year college graduate (bachelors degree),35-54,Male,Brooklyn,Vote early in-person,1,2,4,5,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Much less likely,Black,2,2,2,2,3,0.83307329,1,1,2,4,5,,,,
857,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Police reform,Hard,Very liberal or progressive,"Some college, but no degree",65+,Male,Staten Island,Vote by absentee ballot,4,Not Ranked,1,2,Not Ranked,3,5,Not Ranked,Somewhat less likely,White,4,2,1,5,1,0.697623358,2,4,,1,2,,3,5,
680,Yes,The Democratic party,I have already voted,Right direction,Not too familiar,Police reform,Very Hard,Very liberal or progressive,"Some college, but no degree",35-54,Male,Manhattan,Vote early in-person,Not Ranked,Not Ranked,1,3,4,5,Not Ranked,Not Ranked,Much less likely,Black,2,2,1,3,3,1.142854329,1,,,1,3,4,5,,
477,Yes,The Democratic party,I have already voted,Right direction,Not familiar at all,Crime,Very Hard,Very liberal or progressive,"Some college, but no degree",35-54,Male,Brooklyn,Vote early in-person,1,2,4,5,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Much less likely,White,2,2,1,2,1,1.011014876,1,1,2,4,5,,,,
808,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Transportation,Very easy,Somewhat conservative,Graduate or professional degree,65+,Male,Staten Island,Vote early in-person,Not Ranked,Not Ranked,Not Ranked,1,2,3,Not Ranked,Not Ranked,Much less likely,White,4,2,3,5,1,0.476154424,2,,,,1,2,3,,
615,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Easy,Moderate,Four-year college graduate (bachelors degree),55-64,Female,Manhattan,Vote by absentee ballot,Not Ranked,Not Ranked,Not Ranked,Not Ranked,1,Not Ranked,Not Ranked,Not Ranked,No change,White,3,1,2,3,1,0.814504638,2,,,,,1,,,
251,Yes,The Democratic party,I have already voted,Wrong track,Not too familiar,Housing,Easy,Very liberal or progressive,Graduate or professional degree,65+,Female,Manhattan,Vote early in-person,Not Ranked,2,Not Ranked,1,4,3,Not Ranked,Not Ranked,Much more likely,White,4,1,3,3,1,0.796887942,2,,2,,1,4,3,,
494,Yes,The Democratic party,I have already voted,Not sure,Moderately familiar,Crime,Easy,Somewhat liberal or progressive,Four-year college graduate (bachelors degree),65+,Male,Brooklyn,Vote by absentee ballot,Not Ranked,2,1,4,5,3,Not Ranked,Not Ranked,No change,White,4,2,2,2,1,0.814008434,2,,2,1,4,5,3,,
619,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Very easy,Very liberal or progressive,High school graduate,55-64,Female,Manhattan,Vote by absentee ballot,Not Ranked,1,4,3,5,Not Ranked,2,Not Ranked,Much more likely,Hispanic,3,1,1,3,2,1.149567311,2,,1,4,3,5,,2,
732,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Easy,Moderate,Graduate or professional degree,35-54,Male,Queens,Vote early in-person,Not Ranked,Not Ranked,Not Ranked,3,1,Not Ranked,2,Not Ranked,No change,AAPI,2,2,3,4,4,1.146533587,1,,,,3,1,,2,
268,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Homelessness,Very easy,Moderate,Graduate or professional degree,55-64,Female,Manhattan,Vote by absentee ballot,Not Ranked,Not Ranked,3,Not Ranked,Not Ranked,2,1,Not Ranked,Much more likely,AAPI,3,1,3,3,4,1.137591301,2,,,3,,,2,1,
489,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Easy,Somewhat liberal or progressive,Four-year college graduate (bachelors degree),35-54,Female,Brooklyn,Vote early in-person,Not Ranked,Not Ranked,2,3,1,4,Not Ranked,5,Much more likely,Black,2,1,2,2,3,0.87099785,1,,,2,3,1,4,,5
262,Yes,The Democratic party,I have already voted,Not sure,Not too familiar,Crime,Hard,Moderate,Not sure,55-64,Female,Brooklyn,Vote by absentee ballot,Not Ranked,2,Not Ranked,Not Ranked,1,4,3,Not Ranked,Much more likely,Black,3,1,4,2,3,0.697821916,2,,2,,,1,4,3,
658,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Police reform,Hard,Moderate,"Some college, but no degree",65+,Male,Manhattan,Vote early in-person,5,4,2,Not Ranked,1,Not Ranked,3,Not Ranked,Much less likely,Black,4,2,1,3,3,1.292547397,2,5,4,2,,1,,3,
883,Yes,The Democratic party,I have already voted,Right direction,Very familiar,COVID-19/coronavirus,Very easy,Moderate,"Some college, but no degree",35-54,Male,Bronx,Vote by absentee ballot,Not Ranked,3,1,Not Ranked,2,5,4,Not Ranked,Much more likely,Black,2,2,1,1,3,1.005685382,1,,3,1,,2,5,4,
757,Yes,The Democratic party,I have already voted,Right direction,Not too familiar,Education/Schools,Very Hard,Somewhat liberal or progressive,First to eleventh grade,35-54,Male,Queens,Vote by absentee ballot,1,2,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Much more likely,White,2,2,1,4,1,1.153130134,1,1,2,,,,,,
643,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Crime,Very easy,Somewhat liberal or progressive,Associates or other two-year degree,65+,Female,Manhattan,Vote by absentee ballot,Not Ranked,5,Not Ranked,3,2,1,Not Ranked,Not Ranked,Much more likely,Hispanic,4,1,1,3,2,1.173078428,2,,5,,3,2,1,,
768,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Healthcare,Very easy,Very liberal or progressive,"Some college, but no degree",35-54,Female,Queens,Vote early in-person,1,2,3,5,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Much more likely,White,2,1,1,4,1,1.205624858,1,1,2,3,5,,,,
294,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Police reform,Easy,Very liberal or progressive,Four-year college graduate (bachelors degree),35-54,Female,Brooklyn,Vote early in-person,Not Ranked,4,1,3,Not Ranked,2,Not Ranked,Not Ranked,Somewhat more likely,White,2,1,2,2,1,0.752501167,1,,4,1,3,,2,,
941,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Jobs,Easy,Moderate,Associates or other two-year degree,65+,Male,Queens,Vote early in-person,Not Ranked,Not Ranked,1,2,3,Not Ranked,5,Not Ranked,No change,Hispanic,4,2,1,4,2,1.31035969,2,,,1,2,3,,5,
285,Yes,The Democratic party,I have already voted,Wrong track,Not too familiar,Something else (please specify),Hard,Somewhat liberal or progressive,High school graduate,65+,Male,Brooklyn,Vote by absentee ballot,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,1,Not sure,Black,4,2,1,2,3,1.323497272,2,,,,,,,,1
767,Yes,The Democratic party,I have already voted,Right direction,Not too familiar,COVID-19/coronavirus,Hard,Very liberal or progressive,Not sure,55-64,Male,Queens,Vote early in-person,Not Ranked,2,4,Not Ranked,1,5,Not Ranked,Not Ranked,Somewhat more likely,Black,3,2,4,4,3,0.761257366,2,,2,4,,1,5,,
870,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Crime,Not sure,Moderate,Graduate or professional degree,65+,Male,Staten Island,Vote early in-person,Not Ranked,Not Ranked,Not Ranked,2,1,4,3,Not Ranked,Somewhat more likely,Other,4,2,3,5,5,0.331617502,2,,,,2,1,4,3,
917,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Housing,Easy,Somewhat liberal or progressive,Graduate or professional degree,18-34,Male,Bronx,Vote early in-person,Not Ranked,3,Not Ranked,2,1,4,5,Not Ranked,No change,Hispanic,1,2,3,1,2,0.786066087,1,,3,,2,1,4,5,
277,Yes,The Democratic party,I have already voted,Not sure,Very familiar,COVID-19/coronavirus,Not sure,Moderate,"Some college, but no degree",65+,Female,Brooklyn,Vote early in-person,Not Ranked,1,Not Ranked,Not Ranked,2,Not Ranked,Not Ranked,Not Ranked,No change,Black,4,1,1,2,3,1.383747734,2,,1,,,2,,,
879,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Very easy,Somewhat conservative,"Some college, but no degree",35-54,Female,Bronx,Vote by absentee ballot,Not Ranked,2,Not Ranked,3,1,Not Ranked,5,Not Ranked,Much more likely,Hispanic,2,1,1,1,2,0.912730806,1,,2,,3,1,,5,
806,Yes,The Democratic party,I have already voted,Not sure,Moderately familiar,Crime,Easy,Moderate,High school graduate,55-64,Male,Staten Island,Vote by absentee ballot,4,Not Ranked,5,1,2,Not Ranked,Not Ranked,Not Ranked,No change,White,3,2,1,5,1,0.683641424,2,4,,5,1,2,,,
462,Yes,The Democratic party,I have already voted,Wrong track,Not too familiar,Healthcare,Very Hard,Moderate,High school graduate,35-54,Female,Brooklyn,Vote early in-person,1,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Much less likely,Other,2,1,1,2,5,0.736174955,1,1,,,,,,,
250,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Crime,Not sure,Moderate,Four-year college graduate (bachelors degree),18-34,Female,Manhattan,Vote by absentee ballot,Not Ranked,Not Ranked,Not Ranked,1,Not Ranked,Not Ranked,2,Not Ranked,Not sure,White,1,1,2,3,1,0.96951385,1,,,,1,,,2,
491,Yes,The Democratic party,I have already voted,Wrong track,Not familiar at all,Healthcare,Hard,Very liberal or progressive,Associates or other two-year degree,55-64,Female,Brooklyn,Vote by absentee ballot,Not Ranked,Not Ranked,Not Ranked,Not Ranked,2,Not Ranked,1,Not Ranked,No change,White,3,1,1,2,1,1.171532592,2,,,,,2,,1,
479,Yes,The Democratic party,I have already voted,Right direction,Very familiar,COVID-19/coronavirus,Easy,Moderate,High school graduate,35-54,Male,Brooklyn,Vote by absentee ballot,1,2,4,5,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Much more likely,White,2,2,1,2,1,1.011014876,1,1,2,4,5,,,,
287,Yes,The Democratic party,I have already voted,Right direction,Not familiar at all,Police reform,Easy,Somewhat conservative,Vocational or technical school,55-64,Female,Staten Island,Vote early in-person,Not Ranked,Not Ranked,Not Ranked,Not Ranked,1,2,Not Ranked,Not Ranked,Not sure,Black,3,1,1,5,3,0.82731738,2,,,,,1,2,,
301,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Crime,Easy,Moderate,Graduate or professional degree,35-54,Male,Brooklyn,Vote by absentee ballot,Not Ranked,Not Ranked,Not Ranked,1,3,4,2,Not Ranked,Somewhat more likely,Other,2,2,3,2,5,0.480589167,1,,,,1,3,4,2,
288,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Housing,Very easy,Somewhat liberal or progressive,"Some college, but no degree",65+,Female,Queens,Vote early in-person,Not Ranked,Not Ranked,3,2,Not Ranked,1,Not Ranked,Not Ranked,Much more likely,White,4,1,1,4,1,1.36353972,2,,,3,2,,1,,
720,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Housing,Very easy,Very liberal or progressive,"Some college, but no degree",65+,Female,Manhattan,Vote by absentee ballot,Not Ranked,Not Ranked,Not Ranked,1,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Much less likely,White,4,1,1,3,1,1.167536442,2,,,,1,,,,
295,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Police reform,Easy,Somewhat liberal or progressive,Graduate or professional degree,65+,Male,Queens,Vote early in-person,3,Not Ranked,1,Not Ranked,Not Ranked,2,5,Not Ranked,Much less likely,Black,4,2,3,4,3,1.030316457,2,3,,1,,,2,5,
325,Yes,The Democratic party,I have already voted,Wrong track,Not familiar at all,Crime,Very easy,Not sure,"Some college, but no degree",35-54,Male,Brooklyn,Vote early in-person,5,1,Not Ranked,Not Ranked,Not Ranked,3,2,Not Ranked,No change,Black,2,2,1,2,3,1.170219824,1,5,1,,,,3,2,
300,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Easy,Very liberal or progressive,Associates or other two-year degree,35-54,Male,Queens,Vote by absentee ballot,Not Ranked,Not Ranked,3,Not Ranked,2,Not Ranked,Not Ranked,Not Ranked,No change,Other,2,2,1,4,5,0.803096886,1,,,3,,2,,,
393,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Very easy,Very liberal or progressive,Four-year college graduate (bachelors degree),35-54,Male,Brooklyn,Vote early in-person,Not Ranked,Not Ranked,1,Not Ranked,2,Not Ranked,Not Ranked,3,Somewhat less likely,Black,2,2,2,2,3,0.83307329,1,,,1,,2,,,3
760,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Homelessness,Easy,Very liberal or progressive,Associates or other two-year degree,35-54,Female,Queens,Vote early in-person,Not Ranked,3,Not Ranked,2,1,4,Not Ranked,Not Ranked,Somewhat less likely,White,2,1,1,4,1,1.205624858,1,,3,,2,1,4,,
651,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Police reform,Easy,Very liberal or progressive,"Some college, but no degree",35-54,Female,Manhattan,Vote by absentee ballot,4,2,1,3,Not Ranked,5,Not Ranked,Not Ranked,Much more likely,White,2,1,1,3,1,1.032321198,1,4,2,1,3,,5,,
717,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Very easy,Moderate,Associates or other two-year degree,35-54,Female,Manhattan,Vote early in-person,2,Not Ranked,Not Ranked,4,Not Ranked,5,1,Not Ranked,No change,Hispanic,2,1,1,3,2,1.037221354,1,2,,,4,,5,1,
495,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Easy,Very liberal or progressive,Associates or other two-year degree,35-54,Male,Brooklyn,Vote early in-person,Not Ranked,1,4,Not Ranked,5,3,Not Ranked,Not Ranked,No change,Hispanic,2,2,1,2,2,1.015813897,1,,1,4,,5,3,,
350,Yes,The Democratic party,I have already voted,Not sure,Very familiar,Healthcare,Easy,Very liberal or progressive,Four-year college graduate (bachelors degree),35-54,Female,Brooklyn,Vote early in-person,3,Not Ranked,1,2,Not Ranked,4,Not Ranked,5,Somewhat more likely,White,2,1,2,2,1,0.752501167,1,3,,1,2,,4,,5
326,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Education/Schools,Very easy,Very liberal or progressive,Four-year college graduate (bachelors degree),65+,Female,Brooklyn,Vote by absentee ballot,Not Ranked,5,Not Ranked,3,2,Not Ranked,1,Not Ranked,Much more likely,Black,4,1,2,2,3,0.985082678,2,,5,,3,2,,1,
450,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Homelessness,Very Hard,Very liberal or progressive,Graduate or professional degree,35-54,Female,Brooklyn,Vote early in-person,Not Ranked,2,3,1,4,5,Not Ranked,Not Ranked,Much less likely,Hispanic,2,1,3,2,2,0.724894547,1,,2,3,1,4,5,,
493,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Housing,Very easy,Very conservative,Vocational or technical school,65+,Female,Brooklyn,Vote by absentee ballot,Not Ranked,2,Not Ranked,Not Ranked,1,Not Ranked,3,Not Ranked,No change,White,4,1,1,2,1,1.195492946,2,,2,,,1,,3,
286,Yes,The Democratic party,I have already voted,Wrong track,Not too familiar,Crime,Hard,Somewhat conservative,Graduate or professional degree,65+,Female,Manhattan,Vote early in-person,Not Ranked,Not Ranked,Not Ranked,1,Not Ranked,2,Not Ranked,Not Ranked,No change,White,4,1,3,3,1,0.796887942,2,,,,1,,2,,
954,Yes,The Democratic party,I have already voted,Not sure,Very familiar,Crime,Easy,Somewhat liberal or progressive,Associates or other two-year degree,55-64,Female,Bronx,Vote early in-person,Not Ranked,1,Not Ranked,3,Not Ranked,5,2,Not Ranked,No change,Hispanic,3,1,1,1,2,1.011592651,2,,1,,3,,5,2,
256,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Housing,Easy,Moderate,Associates or other two-year degree,55-64,Female,Brooklyn,Vote early in-person,Not Ranked,3,4,Not Ranked,2,5,1,Not Ranked,Somewhat more likely,Black,3,1,1,2,3,1.356014333,2,,3,4,,2,5,1,
272,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Something else (please specify),Very easy,Very liberal or progressive,Graduate or professional degree,35-54,Female,Brooklyn,Vote early in-person,Not Ranked,3,1,2,5,4,Not Ranked,Not Ranked,No change,Black,2,1,3,2,3,0.835080099,1,,3,1,2,5,4,,
962,Yes,The Democratic party,I have already voted,Not sure,Not familiar at all,COVID-19/coronavirus,Not sure,Not sure,Associates or other two-year degree,35-54,Female,Bronx,Vote early in-person,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,1,No change,Hispanic,2,1,1,1,2,0.912730806,1,,,,,,,,1
253,Yes,The Democratic party,I have already voted,Not sure,Moderately familiar,Education/Schools,Easy,Very liberal or progressive,Graduate or professional degree,65+,Male,Manhattan,Vote early in-person,Not Ranked,Not Ranked,4,1,2,3,Not Ranked,Not Ranked,Somewhat less likely,Other,4,2,3,3,5,0.530826998,2,,,4,1,2,3,,
458,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Transportation,Easy,Somewhat liberal or progressive,Associates or other two-year degree,65+,Female,Brooklyn,Vote early in-person,Not Ranked,Not Ranked,Not Ranked,1,2,4,3,Not Ranked,Much more likely,White,4,1,1,2,1,1.195492946,2,,,,1,2,4,3,
827,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Housing,Easy,Somewhat liberal or progressive,Four-year college graduate (bachelors degree),65+,Female,Staten Island,Vote by absentee ballot,Not Ranked,Not Ranked,1,2,Not Ranked,Not Ranked,3,Not Ranked,No change,White,4,1,2,5,1,0.519242993,2,,,1,2,,,3,
267,Yes,The Democratic party,I have already voted,Wrong track,Not familiar at all,Crime,Hard,Not sure,Four-year college graduate (bachelors degree),65+,Male,Manhattan,Vote early in-person,Not Ranked,3,5,Not Ranked,1,4,Not Ranked,Not Ranked,No change,Black,4,2,2,3,3,0.920157641,2,,3,5,,1,4,,
383,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Transportation,Easy,Very liberal or progressive,Graduate or professional degree,18-34,Male,Brooklyn,Vote early in-person,Not Ranked,4,2,1,Not Ranked,3,5,Not Ranked,No change,White,1,2,3,2,1,0.910348685,1,,4,2,1,,3,5,
818,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Housing,Very easy,Very liberal or progressive,Graduate or professional degree,65+,Male,Staten Island,Vote by absentee ballot,Not Ranked,3,Not Ranked,Not Ranked,1,Not Ranked,2,4,No change,Other,4,2,3,5,5,0.331617502,2,,3,,,1,,2,4
798,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Homelessness,Very easy,Somewhat liberal or progressive,"Some college, but no degree",55-64,Female,Staten Island,Vote by absentee ballot,5,Not Ranked,3,1,2,Not Ranked,4,Not Ranked,Much more likely,White,3,1,1,5,1,0.714763296,2,5,,3,1,2,,4,
276,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Very easy,Moderate,Graduate or professional degree,18-34,Male,Brooklyn,Vote early in-person,Not Ranked,Not Ranked,Not Ranked,4,1,2,3,Not Ranked,Somewhat less likely,White,1,2,3,2,1,0.910348685,1,,,,4,1,2,3,
956,Yes,The Democratic party,I have already voted,Not sure,Not too familiar,Education/Schools,Hard,Somewhat conservative,"Some college, but no degree",65+,Other,Bronx,Vote early in-person,4,3,5,Not Ranked,1,2,Not Ranked,Not Ranked,No change,Black,4,3,1,1,3,1.435213649,2,4,3,5,,1,2,,
