PersonID,registered,party_reg,vote_intent,right_track,rcv_familiarity,most_important_issue,rcv_difficulty,ideo_self_id,education,age_cat,gender,borough,method_combined,impact_of_rcv_exp,race,age,other,weight,1,2,3,4,5
758,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Very easy,Moderate,Four-year college graduate (bachelors degree),35-54,Female,Queens,Vote by absentee ballot,Somewhat less likely,AAPI,1,,1.250286676,cAndrewYang,cShaunDonovan,cEricAdams,cMayaWiley,
366,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Housing,Hard,Somewhat liberal or progressive,Four-year college graduate (bachelors degree),35-54,Male,Brooklyn,Vote early in-person,Somewhat more likely,White,1,4.0,0.719736132,cMayaWiley,cKathrynGarcia,cScottStringer,,cAndrewYang
289,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Jobs,Easy,Somewhat conservative,"Some college, but no degree",18-34,Male,Manhattan,Vote early in-person,Much more likely,AAPI,1,,1.897518571,cMayaWiley,cEricAdams,cKathrynGarcia,cShaunDonovan,cAndrewYang
918,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Jobs,Very easy,Somewhat liberal or progressive,Associates or other two-year degree,65+,Male,Bronx,Vote early in-person,No change,Black,2,,1.13741182,cEricAdams,cShaunDonovan,cAndrewYang,,
728,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Education/Schools,Easy,Somewhat conservative,Graduate or professional degree,65+,Female,Queens,Vote by absentee ballot,No change,White,2,,0.93066762,cKathrynGarcia,cEricAdams,,cAndrewYang,
746,Yes,The Democratic party,I have already voted,Not sure,Moderately familiar,Crime,Not sure,Moderate,Four-year college graduate (bachelors degree),35-54,Male,Queens,Vote early in-person,No change,AAPI,1,,1.195847309,cEricAdams,cAndrewYang,cScottStringer,cKathrynGarcia,cShaunDonovan
298,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Not sure,Very conservative,"Some college, but no degree",35-54,Female,Queens,Vote by absentee ballot,Much less likely,Black,1,,1.395475124,cAndrewYang,cDianneMorales,cEricAdams,cShaunDonovan,cScottStringer
926,Yes,The Democratic party,I have already voted,Wrong track,Not too familiar,Homelessness,Easy,Very conservative,High school graduate,35-54,Male,Bronx,Vote by absentee ballot,Somewhat more likely,Black,1,,1.005685382,cEricAdams,,,,
635,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Easy,Somewhat conservative,Four-year college graduate (bachelors degree),65+,Female,Manhattan,Vote by absentee ballot,No change,White,2,,0.831163004,cEricAdams,cKathrynGarcia,,cAndrewYang,cShaunDonovan
254,Yes,The Democratic party,I have already voted,Wrong track,Not too familiar,Healthcare,Very easy,Very liberal or progressive,"Some college, but no degree",55-64,Male,Queens,Vote by absentee ballot,Much more likely,White,2,,1.278030677,cMayaWiley,cDianneMorales,cScottStringer,cShaunDonovan,cKathrynGarcia
261,Yes,The Democratic party,I have already voted,Not sure,Very familiar,Housing,Very easy,Somewhat liberal or progressive,Associates or other two-year degree,65+,Female,Brooklyn,Vote by absentee ballot,No change,White,2,,1.195492946,cAndrewYang,cEricAdams,cMayaWiley,,
464,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Very Hard,Moderate,Four-year college graduate (bachelors degree),35-54,Male,Brooklyn,Vote early in-person,Much less likely,Black,1,,0.83307329,cDianneMorales,cScottStringer,,cMayaWiley,cKathrynGarcia
857,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Police reform,Hard,Very liberal or progressive,"Some college, but no degree",65+,Male,Staten Island,Vote by absentee ballot,Somewhat less likely,White,2,,0.697623358,cMayaWiley,cKathrynGarcia,cShaunDonovan,cDianneMorales,cAndrewYang
680,Yes,The Democratic party,I have already voted,Right direction,Not too familiar,Police reform,Very Hard,Very liberal or progressive,"Some college, but no degree",35-54,Male,Manhattan,Vote early in-person,Much less likely,Black,1,,1.142854329,cMayaWiley,,cKathrynGarcia,cEricAdams,cShaunDonovan
477,Yes,The Democratic party,I have already voted,Right direction,Not familiar at all,Crime,Very Hard,Very liberal or progressive,"Some college, but no degree",35-54,Male,Brooklyn,Vote early in-person,Much less likely,White,1,,1.011014876,cDianneMorales,cScottStringer,,cMayaWiley,cKathrynGarcia
808,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Transportation,Very easy,Somewhat conservative,Graduate or professional degree,65+,Male,Staten Island,Vote early in-person,Much less likely,White,2,,0.476154424,cKathrynGarcia,cEricAdams,cShaunDonovan,,
615,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Easy,Moderate,Four-year college graduate (bachelors degree),55-64,Female,Manhattan,Vote by absentee ballot,No change,White,2,,0.814504638,cEricAdams,,,,
251,Yes,The Democratic party,I have already voted,Wrong track,Not too familiar,Housing,Easy,Very liberal or progressive,Graduate or professional degree,65+,Female,Manhattan,Vote early in-person,Much more likely,White,2,,0.796887942,cKathrynGarcia,cScottStringer,cShaunDonovan,cEricAdams,
494,Yes,The Democratic party,I have already voted,Not sure,Moderately familiar,Crime,Easy,Somewhat liberal or progressive,Four-year college graduate (bachelors degree),65+,Male,Brooklyn,Vote by absentee ballot,No change,White,2,,0.814008434,cMayaWiley,cScottStringer,cShaunDonovan,cKathrynGarcia,cEricAdams
619,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Very easy,Very liberal or progressive,High school graduate,55-64,Female,Manhattan,Vote by absentee ballot,Much more likely,Hispanic,2,,1.149567311,cScottStringer,cAndrewYang,cKathrynGarcia,cMayaWiley,cEricAdams
732,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Easy,Moderate,Graduate or professional degree,35-54,Male,Queens,Vote early in-person,No change,AAPI,1,,1.146533587,cEricAdams,cAndrewYang,cKathrynGarcia,,
268,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Homelessness,Very easy,Moderate,Graduate or professional degree,55-64,Female,Manhattan,Vote by absentee ballot,Much more likely,AAPI,2,,1.137591301,cAndrewYang,cShaunDonovan,cMayaWiley,,
489,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Easy,Somewhat liberal or progressive,Four-year college graduate (bachelors degree),35-54,Female,Brooklyn,Vote early in-person,Much more likely,Black,1,5.0,0.87099785,cEricAdams,cMayaWiley,cKathrynGarcia,cShaunDonovan,
262,Yes,The Democratic party,I have already voted,Not sure,Not too familiar,Crime,Hard,Moderate,Not sure,55-64,Female,Brooklyn,Vote by absentee ballot,Much more likely,Black,2,,0.697821916,cEricAdams,cScottStringer,cAndrewYang,cShaunDonovan,
658,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Police reform,Hard,Moderate,"Some college, but no degree",65+,Male,Manhattan,Vote early in-person,Much less likely,Black,2,,1.292547397,cEricAdams,cMayaWiley,cAndrewYang,cScottStringer,cDianneMorales
883,Yes,The Democratic party,I have already voted,Right direction,Very familiar,COVID-19/coronavirus,Very easy,Moderate,"Some college, but no degree",35-54,Male,Bronx,Vote by absentee ballot,Much more likely,Black,1,,1.005685382,cMayaWiley,cEricAdams,cScottStringer,cAndrewYang,cShaunDonovan
757,Yes,The Democratic party,I have already voted,Right direction,Not too familiar,Education/Schools,Very Hard,Somewhat liberal or progressive,First to eleventh grade,35-54,Male,Queens,Vote by absentee ballot,Much more likely,White,1,,1.153130134,cDianneMorales,cScottStringer,,,
643,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Crime,Very easy,Somewhat liberal or progressive,Associates or other two-year degree,65+,Female,Manhattan,Vote by absentee ballot,Much more likely,Hispanic,2,,1.173078428,cShaunDonovan,cEricAdams,cKathrynGarcia,,cScottStringer
768,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Healthcare,Very easy,Very liberal or progressive,"Some college, but no degree",35-54,Female,Queens,Vote early in-person,Much more likely,White,1,,1.205624858,cDianneMorales,cScottStringer,cMayaWiley,,cKathrynGarcia
294,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Police reform,Easy,Very liberal or progressive,Four-year college graduate (bachelors degree),35-54,Female,Brooklyn,Vote early in-person,Somewhat more likely,White,1,,0.752501167,cMayaWiley,cShaunDonovan,cKathrynGarcia,cScottStringer,
941,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Jobs,Easy,Moderate,Associates or other two-year degree,65+,Male,Queens,Vote early in-person,No change,Hispanic,2,,1.31035969,cMayaWiley,cKathrynGarcia,cEricAdams,,cAndrewYang
285,Yes,The Democratic party,I have already voted,Wrong track,Not too familiar,Something else (please specify),Hard,Somewhat liberal or progressive,High school graduate,65+,Male,Brooklyn,Vote by absentee ballot,Not sure,Black,2,1.0,1.323497272,,,,,
767,Yes,The Democratic party,I have already voted,Right direction,Not too familiar,COVID-19/coronavirus,Hard,Very liberal or progressive,Not sure,55-64,Male,Queens,Vote early in-person,Somewhat more likely,Black,2,,0.761257366,cEricAdams,cScottStringer,,cMayaWiley,cShaunDonovan
870,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Crime,Not sure,Moderate,Graduate or professional degree,65+,Male,Staten Island,Vote early in-person,Somewhat more likely,Other,2,,0.331617502,cEricAdams,cKathrynGarcia,cAndrewYang,cShaunDonovan,
917,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Housing,Easy,Somewhat liberal or progressive,Graduate or professional degree,18-34,Male,Bronx,Vote early in-person,No change,Hispanic,1,,0.786066087,cEricAdams,cKathrynGarcia,cScottStringer,cShaunDonovan,cAndrewYang
277,Yes,The Democratic party,I have already voted,Not sure,Very familiar,COVID-19/coronavirus,Not sure,Moderate,"Some college, but no degree",65+,Female,Brooklyn,Vote early in-person,No change,Black,2,,1.383747734,cScottStringer,cEricAdams,,,
879,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Very easy,Somewhat conservative,"Some college, but no degree",35-54,Female,Bronx,Vote by absentee ballot,Much more likely,Hispanic,1,,0.912730806,cEricAdams,cScottStringer,cKathrynGarcia,,cAndrewYang
806,Yes,The Democratic party,I have already voted,Not sure,Moderately familiar,Crime,Easy,Moderate,High school graduate,55-64,Male,Staten Island,Vote by absentee ballot,No change,White,2,,0.683641424,cKathrynGarcia,cEricAdams,,cDianneMorales,cMayaWiley
462,Yes,The Democratic party,I have already voted,Wrong track,Not too familiar,Healthcare,Very Hard,Moderate,High school graduate,35-54,Female,Brooklyn,Vote early in-person,Much less likely,Other,1,,0.736174955,cDianneMorales,,,,
250,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Crime,Not sure,Moderate,Four-year college graduate (bachelors degree),18-34,Female,Manhattan,Vote by absentee ballot,Not sure,White,1,,0.96951385,cKathrynGarcia,cAndrewYang,,,
491,Yes,The Democratic party,I have already voted,Wrong track,Not familiar at all,Healthcare,Hard,Very liberal or progressive,Associates or other two-year degree,55-64,Female,Brooklyn,Vote by absentee ballot,No change,White,2,,1.171532592,cAndrewYang,cEricAdams,,,
479,Yes,The Democratic party,I have already voted,Right direction,Very familiar,COVID-19/coronavirus,Easy,Moderate,High school graduate,35-54,Male,Brooklyn,Vote by absentee ballot,Much more likely,White,1,,1.011014876,cDianneMorales,cScottStringer,,cMayaWiley,cKathrynGarcia
287,Yes,The Democratic party,I have already voted,Right direction,Not familiar at all,Police reform,Easy,Somewhat conservative,Vocational or technical school,55-64,Female,Staten Island,Vote early in-person,Not sure,Black,2,,0.82731738,cEricAdams,cShaunDonovan,,,
301,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Crime,Easy,Moderate,Graduate or professional degree,35-54,Male,Brooklyn,Vote by absentee ballot,Somewhat more likely,Other,1,,0.480589167,cKathrynGarcia,cAndrewYang,cEricAdams,cShaunDonovan,
288,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Housing,Very easy,Somewhat liberal or progressive,"Some college, but no degree",65+,Female,Queens,Vote early in-person,Much more likely,White,2,,1.36353972,cShaunDonovan,cKathrynGarcia,cMayaWiley,,
720,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Housing,Very easy,Very liberal or progressive,"Some college, but no degree",65+,Female,Manhattan,Vote by absentee ballot,Much less likely,White,2,,1.167536442,cKathrynGarcia,,,,
295,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Police reform,Easy,Somewhat liberal or progressive,Graduate or professional degree,65+,Male,Queens,Vote early in-person,Much less likely,Black,2,,1.030316457,cMayaWiley,cShaunDonovan,cDianneMorales,,cAndrewYang
325,Yes,The Democratic party,I have already voted,Wrong track,Not familiar at all,Crime,Very easy,Not sure,"Some college, but no degree",35-54,Male,Brooklyn,Vote early in-person,No change,Black,1,,1.170219824,cScottStringer,cAndrewYang,cShaunDonovan,,cDianneMorales
300,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Easy,Very liberal or progressive,Associates or other two-year degree,35-54,Male,Queens,Vote by absentee ballot,No change,Other,1,,0.803096886,,cEricAdams,cMayaWiley,,
393,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Very easy,Very liberal or progressive,Four-year college graduate (bachelors degree),35-54,Male,Brooklyn,Vote early in-person,Somewhat less likely,Black,1,3.0,0.83307329,cMayaWiley,cEricAdams,,,
760,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Homelessness,Easy,Very liberal or progressive,Associates or other two-year degree,35-54,Female,Queens,Vote early in-person,Somewhat less likely,White,1,,1.205624858,cEricAdams,cKathrynGarcia,cScottStringer,cShaunDonovan,
651,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Police reform,Easy,Very liberal or progressive,"Some college, but no degree",35-54,Female,Manhattan,Vote by absentee ballot,Much more likely,White,1,,1.032321198,cMayaWiley,cScottStringer,cKathrynGarcia,cDianneMorales,cShaunDonovan
717,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Very easy,Moderate,Associates or other two-year degree,35-54,Female,Manhattan,Vote early in-person,No change,Hispanic,1,,1.037221354,cAndrewYang,cDianneMorales,,cKathrynGarcia,cShaunDonovan
495,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Easy,Very liberal or progressive,Associates or other two-year degree,35-54,Male,Brooklyn,Vote early in-person,No change,Hispanic,1,,1.015813897,cScottStringer,,cShaunDonovan,cMayaWiley,cEricAdams
350,Yes,The Democratic party,I have already voted,Not sure,Very familiar,Healthcare,Easy,Very liberal or progressive,Four-year college graduate (bachelors degree),35-54,Female,Brooklyn,Vote early in-person,Somewhat more likely,White,1,5.0,0.752501167,cMayaWiley,cKathrynGarcia,cDianneMorales,cShaunDonovan,
326,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Education/Schools,Very easy,Very liberal or progressive,Four-year college graduate (bachelors degree),65+,Female,Brooklyn,Vote by absentee ballot,Much more likely,Black,2,,0.985082678,cAndrewYang,cEricAdams,cKathrynGarcia,,cScottStringer
450,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Homelessness,Very Hard,Very liberal or progressive,Graduate or professional degree,35-54,Female,Brooklyn,Vote early in-person,Much less likely,Hispanic,1,,0.724894547,cKathrynGarcia,cScottStringer,cMayaWiley,cEricAdams,cShaunDonovan
493,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Housing,Very easy,Very conservative,Vocational or technical school,65+,Female,Brooklyn,Vote by absentee ballot,No change,White,2,,1.195492946,cEricAdams,cScottStringer,cAndrewYang,,
286,Yes,The Democratic party,I have already voted,Wrong track,Not too familiar,Crime,Hard,Somewhat conservative,Graduate or professional degree,65+,Female,Manhattan,Vote early in-person,No change,White,2,,0.796887942,cKathrynGarcia,cShaunDonovan,,,
954,Yes,The Democratic party,I have already voted,Not sure,Very familiar,Crime,Easy,Somewhat liberal or progressive,Associates or other two-year degree,55-64,Female,Bronx,Vote early in-person,No change,Hispanic,2,,1.011592651,cScottStringer,cAndrewYang,cKathrynGarcia,,cShaunDonovan
256,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Housing,Easy,Moderate,Associates or other two-year degree,55-64,Female,Brooklyn,Vote early in-person,Somewhat more likely,Black,2,,1.356014333,cAndrewYang,cEricAdams,cScottStringer,cMayaWiley,cShaunDonovan
272,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Something else (please specify),Very easy,Very liberal or progressive,Graduate or professional degree,35-54,Female,Brooklyn,Vote early in-person,No change,Black,1,,0.835080099,cMayaWiley,cKathrynGarcia,cScottStringer,cShaunDonovan,cEricAdams
962,Yes,The Democratic party,I have already voted,Not sure,Not familiar at all,COVID-19/coronavirus,Not sure,Not sure,Associates or other two-year degree,35-54,Female,Bronx,Vote early in-person,No change,Hispanic,1,1.0,0.912730806,,,,,
253,Yes,The Democratic party,I have already voted,Not sure,Moderately familiar,Education/Schools,Easy,Very liberal or progressive,Graduate or professional degree,65+,Male,Manhattan,Vote early in-person,Somewhat less likely,Other,2,,0.530826998,cKathrynGarcia,cEricAdams,cShaunDonovan,cMayaWiley,
458,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Transportation,Easy,Somewhat liberal or progressive,Associates or other two-year degree,65+,Female,Brooklyn,Vote early in-person,Much more likely,White,2,,1.195492946,cKathrynGarcia,cEricAdams,cAndrewYang,cShaunDonovan,
827,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Housing,Easy,Somewhat liberal or progressive,Four-year college graduate (bachelors degree),65+,Female,Staten Island,Vote by absentee ballot,No change,White,2,,0.519242993,cMayaWiley,cKathrynGarcia,cAndrewYang,,
267,Yes,The Democratic party,I have already voted,Wrong track,Not familiar at all,Crime,Hard,Not sure,Four-year college graduate (bachelors degree),65+,Male,Manhattan,Vote early in-person,No change,Black,2,,0.920157641,cEricAdams,,cScottStringer,cShaunDonovan,cMayaWiley
383,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Transportation,Easy,Very liberal or progressive,Graduate or professional degree,18-34,Male,Brooklyn,Vote early in-person,No change,White,1,,0.910348685,cKathrynGarcia,cMayaWiley,cShaunDonovan,cScottStringer,cAndrewYang
818,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Housing,Very easy,Very liberal or progressive,Graduate or professional degree,65+,Male,Staten Island,Vote by absentee ballot,No change,Other,2,4.0,0.331617502,cEricAdams,cAndrewYang,cScottStringer,,
798,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Homelessness,Very easy,Somewhat liberal or progressive,"Some college, but no degree",55-64,Female,Staten Island,Vote by absentee ballot,Much more likely,White,2,,0.714763296,cKathrynGarcia,cEricAdams,cMayaWiley,cAndrewYang,cDianneMorales
276,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Very easy,Moderate,Graduate or professional degree,18-34,Male,Brooklyn,Vote early in-person,Somewhat less likely,White,1,,0.910348685,cEricAdams,cShaunDonovan,cAndrewYang,cKathrynGarcia,
956,Yes,The Democratic party,I have already voted,Not sure,Not too familiar,Education/Schools,Hard,Somewhat conservative,"Some college, but no degree",65+,Other,Bronx,Vote early in-person,No change,Black,2,,1.435213649,cEricAdams,cShaunDonovan,cScottStringer,cDianneMorales,cMayaWiley
322,Yes,The Democratic party,I have already voted,Not sure,Very familiar,Crime,Easy,Moderate,Four-year college graduate (bachelors degree),65+,Male,Brooklyn,Vote early in-person,No change,Black,2,,0.942190693,cEricAdams,cKathrynGarcia,cShaunDonovan,,cAndrewYang
552,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Crime,Easy,Moderate,Graduate or professional degree,65+,Male,Manhattan,Vote early in-person,Much less likely,Hispanic,2,,0.765808155,cEricAdams,cShaunDonovan,cKathrynGarcia,cMayaWiley,
447,Yes,The Democratic party,I have already voted,Not sure,Moderately familiar,COVID-19/coronavirus,Hard,Somewhat liberal or progressive,"Some college, but no degree",65+,Female,Queens,Vote early in-person,No change,White,2,,1.36353972,cKathrynGarcia,cEricAdams,cScottStringer,cShaunDonovan,
625,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Hard,Moderate,Graduate or professional degree,65+,Male,Manhattan,Vote by absentee ballot,Much more likely,Other,2,,0.530826998,cKathrynGarcia,cAndrewYang,cScottStringer,,cEricAdams
977,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Education/Schools,Hard,Somewhat liberal or progressive,Graduate or professional degree,65+,Female,Manhattan,Vote early in-person,Somewhat more likely,White,2,,0.796887942,cKathrynGarcia,cScottStringer,cShaunDonovan,cMayaWiley,
266,Yes,The Democratic party,I have already voted,Not sure,Very familiar,Education/Schools,Very easy,Very liberal or progressive,"Some college, but no degree",35-54,Female,Brooklyn,Vote early in-person,Somewhat more likely,White,1,,1.057039991,cMayaWiley,cShaunDonovan,cKathrynGarcia,,cDianneMorales
718,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Very easy,Somewhat conservative,"Some college, but no degree",35-54,Male,Manhattan,Vote early in-person,Somewhat more likely,White,1,2.0,0.987372377,cEricAdams,,,cKathrynGarcia,cDianneMorales
297,Yes,The Democratic party,I have already voted,Not sure,Very familiar,Crime,Easy,Somewhat liberal or progressive,"Some college, but no degree",65+,Female,Queens,Vote by absentee ballot,No change,Hispanic,2,,1.370012082,cEricAdams,cScottStringer,cMayaWiley,cShaunDonovan,
750,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Very easy,Somewhat liberal or progressive,"Some college, but no degree",65+,Male,Queens,Vote by absentee ballot,Much more likely,White,2,,1.304169144,cEricAdams,cMayaWiley,cAndrewYang,cKathrynGarcia,
583,Yes,The Democratic party,I have already voted,Not sure,Very familiar,Housing,Very easy,Very liberal or progressive,Four-year college graduate (bachelors degree),35-54,Female,Manhattan,Vote by absentee ballot,No change,White,1,,0.734903989,cMayaWiley,cDianneMorales,cScottStringer,cKathrynGarcia,
719,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,COVID-19/coronavirus,Easy,Moderate,"Some college, but no degree",65+,Female,Manhattan,Vote early in-person,No change,White,2,,1.167536442,cEricAdams,cScottStringer,cShaunDonovan,cKathrynGarcia,
992,Yes,The Democratic party,I have already voted,Right direction,Very familiar,COVID-19/coronavirus,Very easy,Very conservative,High school graduate,18-34,Male,Manhattan,Vote early in-person,Much less likely,Black,1,,1.507697763,cDianneMorales,cScottStringer,,cMayaWiley,cKathrynGarcia
789,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Transportation,Hard,Somewhat liberal or progressive,Four-year college graduate (bachelors degree),65+,Female,Staten Island,Vote by absentee ballot,No change,White,2,,0.519242993,cScottStringer,cShaunDonovan,cKathrynGarcia,,
293,Yes,The Democratic party,I have already voted,Not sure,Very familiar,Homelessness,Very easy,Moderate,Graduate or professional degree,65+,Male,Brooklyn,Vote early in-person,Much more likely,White,2,,0.780440783,cEricAdams,cMayaWiley,cAndrewYang,cKathrynGarcia,cScottStringer
290,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Easy,Moderate,Four-year college graduate (bachelors degree),55-64,Male,Brooklyn,Vote early in-person,No change,White,2,,0.797693884,cKathrynGarcia,cShaunDonovan,cAndrewYang,cEricAdams,cScottStringer
875,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Police reform,Easy,Moderate,High school graduate,18-34,Male,Bronx,Vote early in-person,Much more likely,Black,1,,1.326739167,cMayaWiley,cKathrynGarcia,cEricAdams,,cAndrewYang
663,Yes,The Democratic party,I have already voted,Not sure,Very familiar,Housing,Very easy,Moderate,Graduate or professional degree,65+,Female,Manhattan,Vote by absentee ballot,Much more likely,Black,2,,0.922374229,cMayaWiley,cEricAdams,cKathrynGarcia,,cAndrewYang
927,Yes,The Democratic party,I have already voted,Wrong track,Not familiar at all,Crime,Easy,Moderate,"Some college, but no degree",65+,Female,Bronx,Vote by absentee ballot,No change,Black,2,,1.189190989,cShaunDonovan,cAndrewYang,cKathrynGarcia,,
986,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Jobs,Very easy,Very conservative,Graduate or professional degree,65+,Male,Manhattan,Vote by absentee ballot,Much more likely,Other,2,,0.530826998,cKathrynGarcia,cMayaWiley,cDianneMorales,cScottStringer,
983,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Homelessness,Hard,Somewhat conservative,High school graduate,18-34,Female,Manhattan,Vote early in-person,No change,White,1,,1.361878169,,cEricAdams,cScottStringer,cShaunDonovan,cMayaWiley
