PersonID,age,age_cat,borough,candidate_AndrewYang,candidate_DianneMorales,candidate_EricAdams,candidate_KathrynGarcia,candidate_MayaWiley,candidate_RayMcGuire,candidate_ScottStringer,candidate_ShaunDonovan,candidate_overvote,education,gender,ideo_self_id,impact_of_rcv_exp,method,most_important_issue,other,party_reg,race,rank_limit,rcv_difficulty,rcv_familiarity,registered,right_track,vote_intent,weight
489,1,35-54,Brooklyn,,,1,3,2,,,4,,Four-year college graduate (bachelors degree),Female,Somewhat liberal or progressive,Much more likely,Vote early in-person,Crime,5.0,The Democratic party,Black,5,Easy,Very familiar,Yes,Right direction,I have already voted,0.87099785
262,2,55-64,Brooklyn,3,,1,,,5,2,4,,Not sure,Female,Moderate,Much more likely,Vote by absentee ballot,Crime,,The Democratic party,Black,5,Hard,Not too familiar,Yes,Not sure,I have already voted,0.697821916
658,2,65+,Manhattan,3,5,1,,2,,4,,,"Some college, but no degree",Male,Moderate,Much less likely,Vote early in-person,Police reform,,The Democratic party,Black,5,Hard,Moderately familiar,Yes,Wrong track,I have already voted,1.292547397
883,1,35-54,Bronx,4,,2,,1,,3,5,,"Some college, but no degree",Male,Moderate,Much more likely,Vote by absentee ballot,COVID-19/coronavirus,,The Democratic party,Black,5,Very easy,Very familiar,Yes,Right direction,I have already voted,1.005685382
757,1,35-54,Queens,,1,,,,3,2,,,First to eleventh grade,Male,Somewhat liberal or progressive,Much more likely,Vote by absentee ballot,Education/Schools,,The Democratic party,White,5,Very Hard,Not too familiar,Yes,Right direction,I have already voted,1.153130134
643,2,65+,Manhattan,,,2,3,,4,5,1,,Associates or other two-year degree,Female,Somewhat liberal or progressive,Much more likely,Vote by absentee ballot,Crime,,The Democratic party,Hispanic,5,Very easy,Moderately familiar,Yes,Right direction,I have already voted,1.173078428
768,1,35-54,Queens,,1,,5,3,4,2,,,"Some college, but no degree",Female,Very liberal or progressive,Much more likely,Vote early in-person,Healthcare,,The Democratic party,White,5,Very easy,Very familiar,Yes,Right direction,I have already voted,1.205624858
294,1,35-54,Brooklyn,,,,3,1,,4,2,,Four-year college graduate (bachelors degree),Female,Very liberal or progressive,Somewhat more likely,Vote early in-person,Police reform,,The Democratic party,White,5,Easy,Very familiar,Yes,Right direction,I have already voted,0.752501167
941,2,65+,Queens,5,,3,2,1,4,,,,Associates or other two-year degree,Male,Moderate,No change,Vote early in-person,Jobs,,The Democratic party,Hispanic,5,Easy,Very familiar,Yes,Right direction,I have already voted,1.31035969
285,2,65+,Brooklyn,,,,,,,,,,High school graduate,Male,Somewhat liberal or progressive,Not sure,Vote by absentee ballot,Something else (please specify),1.0,The Democratic party,Black,5,Hard,Not too familiar,Yes,Wrong track,I have already voted,1.323497272
767,2,55-64,Queens,,,1,,4,3,2,5,,Not sure,Male,Very liberal or progressive,Somewhat more likely,Vote early in-person,COVID-19/coronavirus,,The Democratic party,Black,5,Hard,Not too familiar,Yes,Right direction,I have already voted,0.761257366
870,2,65+,Staten Island,3,,1,2,,,,4,,Graduate or professional degree,Male,Moderate,Somewhat more likely,Vote early in-person,Crime,,The Democratic party,Other,5,Not sure,Moderately familiar,Yes,Wrong track,I have already voted,0.331617502
917,1,18-34,Bronx,5,,1,2,,,3,4,,Graduate or professional degree,Male,Somewhat liberal or progressive,No change,Vote early in-person,Housing,,The Democratic party,Hispanic,5,Easy,Moderately familiar,Yes,Right direction,I have already voted,0.786066087
277,2,65+,Brooklyn,,,2,,,,1,,,"Some college, but no degree",Female,Moderate,No change,Vote early in-person,COVID-19/coronavirus,,The Democratic party,Black,5,Not sure,Very familiar,Yes,Not sure,I have already voted,1.383747734
879,1,35-54,Bronx,5,,1,3,,4,2,,,"Some college, but no degree",Female,Somewhat conservative,Much more likely,Vote by absentee ballot,Crime,,The Democratic party,Hispanic,5,Very easy,Very familiar,Yes,Wrong track,I have already voted,0.912730806
806,2,55-64,Staten Island,,4,2,1,5,3,,,,High school graduate,Male,Moderate,No change,Vote by absentee ballot,Crime,,The Democratic party,White,5,Easy,Moderately familiar,Yes,Not sure,I have already voted,0.683641424
462,1,35-54,Brooklyn,,1,,,,,,,,High school graduate,Female,Moderate,Much less likely,Vote early in-person,Healthcare,,The Democratic party,Other,5,Very Hard,Not too familiar,Yes,Wrong track,I have already voted,0.736174955
250,1,18-34,Manhattan,2,,,1,,,,,,Four-year college graduate (bachelors degree),Female,Moderate,Not sure,Vote by absentee ballot,Crime,,The Democratic party,White,5,Not sure,Moderately familiar,Yes,Wrong track,I have already voted,0.96951385
491,2,55-64,Brooklyn,1,,2,,,,,,,Associates or other two-year degree,Female,Very liberal or progressive,No change,Vote by absentee ballot,Healthcare,,The Democratic party,White,5,Hard,Not familiar at all,Yes,Wrong track,I have already voted,1.171532592
479,1,35-54,Brooklyn,,1,,5,4,3,2,,,High school graduate,Male,Moderate,Much more likely,Vote by absentee ballot,COVID-19/coronavirus,,The Democratic party,White,5,Easy,Very familiar,Yes,Right direction,I have already voted,1.011014876
287,2,55-64,Staten Island,,,1,,,,,2,,Vocational or technical school,Female,Somewhat conservative,Not sure,Vote early in-person,Police reform,,The Democratic party,Black,5,Easy,Not familiar at all,Yes,Right direction,I have already voted,0.82731738
301,1,35-54,Brooklyn,2,,3,1,,4,,,,Graduate or professional degree,Male,Moderate,Somewhat more likely,Vote by absentee ballot,Crime,,The Democratic party,Other,5,Easy,Moderately familiar,Yes,Wrong track,I have already voted,0.480589167
288,2,65+,Queens,,,,2,3,,,1,,"Some college, but no degree",Female,Somewhat liberal or progressive,Much more likely,Vote early in-person,Housing,,The Democratic party,White,5,Very easy,Very familiar,Yes,Wrong track,I have already voted,1.36353972
720,2,65+,Manhattan,,,,1,,,,,,"Some college, but no degree",Female,Very liberal or progressive,Much less likely,Vote by absentee ballot,Housing,,The Democratic party,White,5,Very easy,Very familiar,Yes,Right direction,I have already voted,1.167536442
295,2,65+,Queens,4,3,,,1,,,2,,Graduate or professional degree,Male,Somewhat liberal or progressive,Much less likely,Vote early in-person,Police reform,,The Democratic party,Black,5,Easy,Very familiar,Yes,Right direction,I have already voted,1.030316457
325,1,35-54,Brooklyn,2,5,,,,4,1,3,,"Some college, but no degree",Male,Not sure,No change,Vote early in-person,Crime,,The Democratic party,Black,5,Very easy,Not familiar at all,Yes,Wrong track,I have already voted,1.170219824
300,1,35-54,Queens,,,2,,3,1,,,,Associates or other two-year degree,Male,Very liberal or progressive,No change,Vote by absentee ballot,Crime,,The Democratic party,Other,5,Easy,Very familiar,Yes,Wrong track,I have already voted,0.803096886
393,1,35-54,Brooklyn,,,2,,1,,,,,Four-year college graduate (bachelors degree),Male,Very liberal or progressive,Somewhat less likely,Vote early in-person,Crime,3.0,The Democratic party,Black,5,Very easy,Very familiar,Yes,Right direction,I have already voted,0.83307329
760,1,35-54,Queens,,,1,2,,5,3,4,,Associates or other two-year degree,Female,Very liberal or progressive,Somewhat less likely,Vote early in-person,Homelessness,,The Democratic party,White,5,Easy,Very familiar,Yes,Wrong track,I have already voted,1.205624858
651,1,35-54,Manhattan,,4,,3,1,,2,5,,"Some college, but no degree",Female,Very liberal or progressive,Much more likely,Vote by absentee ballot,Police reform,,The Democratic party,White,5,Easy,Very familiar,Yes,Wrong track,I have already voted,1.032321198
717,1,35-54,Manhattan,1,2,,4,,3,,5,,Associates or other two-year degree,Female,Moderate,No change,Vote early in-person,Crime,,The Democratic party,Hispanic,5,Very easy,Very familiar,Yes,Right direction,I have already voted,1.037221354
495,1,35-54,Brooklyn,,,5,,4,2,1,3,,Associates or other two-year degree,Male,Very liberal or progressive,No change,Vote early in-person,Crime,,The Democratic party,Hispanic,5,Easy,Very familiar,Yes,Wrong track,I have already voted,1.015813897
350,1,35-54,Brooklyn,,3,,2,1,,,4,,Four-year college graduate (bachelors degree),Female,Very liberal or progressive,Somewhat more likely,Vote early in-person,Healthcare,5.0,The Democratic party,White,5,Easy,Very familiar,Yes,Not sure,I have already voted,0.752501167
326,2,65+,Brooklyn,1,,2,3,,4,5,,,Four-year college graduate (bachelors degree),Female,Very liberal or progressive,Much more likely,Vote by absentee ballot,Education/Schools,,The Democratic party,Black,5,Very easy,Very familiar,Yes,Right direction,I have already voted,0.985082678
450,1,35-54,Brooklyn,,,4,1,3,,2,5,,Graduate or professional degree,Female,Very liberal or progressive,Much less likely,Vote early in-person,Homelessness,,The Democratic party,Hispanic,5,Very Hard,Very familiar,Yes,Wrong track,I have already voted,0.724894547
493,2,65+,Brooklyn,3,,1,,,,2,,,Vocational or technical school,Female,Very conservative,No change,Vote by absentee ballot,Housing,,The Democratic party,White,5,Very easy,Moderately familiar,Yes,Right direction,I have already voted,1.195492946
286,2,65+,Manhattan,,,,1,,,,2,,Graduate or professional degree,Female,Somewhat conservative,No change,Vote early in-person,Crime,,The Democratic party,White,5,Hard,Not too familiar,Yes,Wrong track,I have already voted,0.796887942
954,2,55-64,Bronx,2,,,3,,4,1,5,,Associates or other two-year degree,Female,Somewhat liberal or progressive,No change,Vote early in-person,Crime,,The Democratic party,Hispanic,5,Easy,Very familiar,Yes,Not sure,I have already voted,1.011592651
256,2,55-64,Brooklyn,1,,2,,4,,3,5,,Associates or other two-year degree,Female,Moderate,Somewhat more likely,Vote early in-person,Housing,,The Democratic party,Black,5,Easy,Moderately familiar,Yes,Right direction,I have already voted,1.356014333
272,1,35-54,Brooklyn,,,5,2,1,,3,4,,Graduate or professional degree,Female,Very liberal or progressive,No change,Vote early in-person,Something else (please specify),,The Democratic party,Black,5,Very easy,Very familiar,Yes,Wrong track,I have already voted,0.835080099
962,1,35-54,Bronx,,,,,,,,,,Associates or other two-year degree,Female,Not sure,No change,Vote early in-person,COVID-19/coronavirus,1.0,The Democratic party,Hispanic,5,Not sure,Not familiar at all,Yes,Not sure,I have already voted,0.912730806
253,2,65+,Manhattan,,,2,1,4,,,3,,Graduate or professional degree,Male,Very liberal or progressive,Somewhat less likely,Vote early in-person,Education/Schools,,The Democratic party,Other,5,Easy,Moderately familiar,Yes,Not sure,I have already voted,0.530826998
458,2,65+,Brooklyn,3,,2,1,,,,4,,Associates or other two-year degree,Female,Somewhat liberal or progressive,Much more likely,Vote early in-person,Transportation,,The Democratic party,White,5,Easy,Moderately familiar,Yes,Right direction,I have already voted,1.195492946
827,2,65+,Staten Island,3,,,2,1,,,,,Four-year college graduate (bachelors degree),Female,Somewhat liberal or progressive,No change,Vote by absentee ballot,Housing,,The Democratic party,White,5,Easy,Moderately familiar,Yes,Wrong track,I have already voted,0.519242993
267,2,65+,Manhattan,,,1,,5,2,3,4,,Four-year college graduate (bachelors degree),Male,Not sure,No change,Vote early in-person,Crime,,The Democratic party,Black,5,Hard,Not familiar at all,Yes,Wrong track,I have already voted,0.920157641
383,1,18-34,Brooklyn,5,,,1,2,,4,3,,Graduate or professional degree,Male,Very liberal or progressive,No change,Vote early in-person,Transportation,,The Democratic party,White,5,Easy,Very familiar,Yes,Right direction,I have already voted,0.910348685
818,2,65+,Staten Island,2,,1,,,,3,,,Graduate or professional degree,Male,Very liberal or progressive,No change,Vote by absentee ballot,Housing,4.0,The Democratic party,Other,5,Very easy,Very familiar,Yes,Wrong track,I have already voted,0.331617502
798,2,55-64,Staten Island,4,5,2,1,3,,,,,"Some college, but no degree",Female,Somewhat liberal or progressive,Much more likely,Vote by absentee ballot,Homelessness,,The Democratic party,White,5,Very easy,Very familiar,Yes,Right direction,I have already voted,0.714763296
276,1,18-34,Brooklyn,3,,1,4,,5,,2,,Graduate or professional degree,Male,Moderate,Somewhat less likely,Vote early in-person,Crime,,The Democratic party,White,5,Very easy,Very familiar,Yes,Wrong track,I have already voted,0.910348685
956,2,65+,Bronx,,4,1,,5,,3,2,,"Some college, but no degree",Other,Somewhat conservative,No change,Vote early in-person,Education/Schools,,The Democratic party,Black,5,Hard,Not too familiar,Yes,Not sure,I have already voted,1.435213649
322,2,65+,Brooklyn,5,,1,2,,4,,3,,Four-year college graduate (bachelors degree),Male,Moderate,No change,Vote early in-person,Crime,,The Democratic party,Black,5,Easy,Very familiar,Yes,Not sure,I have already voted,0.942190693
552,2,65+,Manhattan,,,1,3,4,5,,2,,Graduate or professional degree,Male,Moderate,Much less likely,Vote early in-person,Crime,,The Democratic party,Hispanic,5,Easy,Moderately familiar,Yes,Wrong track,I have already voted,0.765808155
447,2,65+,Queens,,,2,1,,,3,4,,"Some college, but no degree",Female,Somewhat liberal or progressive,No change,Vote early in-person,COVID-19/coronavirus,,The Democratic party,White,5,Hard,Moderately familiar,Yes,Not sure,I have already voted,1.36353972
625,2,65+,Manhattan,2,,5,1,,4,3,,,Graduate or professional degree,Male,Moderate,Much more likely,Vote by absentee ballot,Crime,,The Democratic party,Other,5,Hard,Very familiar,Yes,Wrong track,I have already voted,0.530826998
977,2,65+,Manhattan,,,,1,4,5,2,3,,Graduate or professional degree,Female,Somewhat liberal or progressive,Somewhat more likely,Vote early in-person,Education/Schools,,The Democratic party,White,5,Hard,Moderately familiar,Yes,Wrong track,I have already voted,0.796887942
266,1,35-54,Brooklyn,,4,,3,1,,,2,,"Some college, but no degree",Female,Very liberal or progressive,Somewhat more likely,Vote early in-person,Education/Schools,,The Democratic party,White,5,Very easy,Very familiar,Yes,Not sure,I have already voted,1.057039991
718,1,35-54,Manhattan,,4,1,3,,2,,,,"Some college, but no degree",Male,Somewhat conservative,Somewhat more likely,Vote early in-person,Crime,2.0,The Democratic party,White,5,Very easy,Very familiar,Yes,Right direction,I have already voted,0.987372377
297,2,65+,Queens,,,1,,3,5,2,4,,"Some college, but no degree",Female,Somewhat liberal or progressive,No change,Vote by absentee ballot,Crime,,The Democratic party,Hispanic,5,Easy,Very familiar,Yes,Not sure,I have already voted,1.370012082
750,2,65+,Queens,3,,1,4,2,5,,,,"Some college, but no degree",Male,Somewhat liberal or progressive,Much more likely,Vote by absentee ballot,Crime,,The Democratic party,White,5,Very easy,Very familiar,Yes,Wrong track,I have already voted,1.304169144
583,1,35-54,Manhattan,,2,,4,1,,3,,,Four-year college graduate (bachelors degree),Female,Very liberal or progressive,No change,Vote by absentee ballot,Housing,,The Democratic party,White,5,Very easy,Very familiar,Yes,Not sure,I have already voted,0.734903989
719,2,65+,Manhattan,,,1,4,,5,2,3,,"Some college, but no degree",Female,Moderate,No change,Vote early in-person,COVID-19/coronavirus,,The Democratic party,White,5,Easy,Moderately familiar,Yes,Right direction,I have already voted,1.167536442
992,1,18-34,Manhattan,,1,,5,4,3,2,,,High school graduate,Male,Very conservative,Much less likely,Vote early in-person,COVID-19/coronavirus,,The Democratic party,Black,5,Very easy,Very familiar,Yes,Right direction,I have already voted,1.507697763
789,2,65+,Staten Island,,,,3,,4,1,2,,Four-year college graduate (bachelors degree),Female,Somewhat liberal or progressive,No change,Vote by absentee ballot,Transportation,,The Democratic party,White,5,Hard,Moderately familiar,Yes,Wrong track,I have already voted,0.519242993
293,2,65+,Brooklyn,3,,1,4,2,,5,,,Graduate or professional degree,Male,Moderate,Much more likely,Vote early in-person,Homelessness,,The Democratic party,White,5,Very easy,Very familiar,Yes,Not sure,I have already voted,0.780440783
290,2,55-64,Brooklyn,3,,4,1,,,5,2,,Four-year college graduate (bachelors degree),Male,Moderate,No change,Vote early in-person,Crime,,The Democratic party,White,5,Easy,Very familiar,Yes,Right direction,I have already voted,0.797693884
875,1,18-34,Bronx,5,,3,2,1,4,,,,High school graduate,Male,Moderate,Much more likely,Vote early in-person,Police reform,,The Democratic party,Black,5,Easy,Very familiar,Yes,Right direction,I have already voted,1.326739167
663,2,65+,Manhattan,5,,2,3,1,4,,,,Graduate or professional degree,Female,Moderate,Much more likely,Vote by absentee ballot,Housing,,The Democratic party,Black,5,Very easy,Very familiar,Yes,Not sure,I have already voted,0.922374229
927,2,65+,Bronx,2,,,3,,4,,1,,"Some college, but no degree",Female,Moderate,No change,Vote by absentee ballot,Crime,,The Democratic party,Black,5,Easy,Not familiar at all,Yes,Wrong track,I have already voted,1.189190989
986,2,65+,Manhattan,,3,,1,2,5,4,,,Graduate or professional degree,Male,Very conservative,Much more likely,Vote by absentee ballot,Jobs,,The Democratic party,Other,5,Very easy,Very familiar,Yes,Right direction,I have already voted,0.530826998
983,1,18-34,Manhattan,,,2,,5,1,3,4,,High school graduate,Female,Somewhat conservative,No change,Vote early in-person,Homelessness,,The Democratic party,White,5,Hard,Moderately familiar,Yes,Right direction,I have already voted,1.361878169
601,1,35-54,Manhattan,1,,2,3,,4,,,,"Some college, but no degree",Female,Moderate,No change,Vote early in-person,Crime,5.0,The Democratic party,White,5,Very easy,Very familiar,Yes,Wrong track,I have already voted,1.032321198
819,2,65+,Staten Island,,,,,,,,,,Graduate or professional degree,Female,Somewhat conservative,No change,Vote early in-person,Crime,1.0,The Democratic party,Black,5,Very easy,Very familiar,Yes,Not sure,I have already voted,0.576224343
969,1,35-54,Bronx,2,5,3,,1,,4,,,High school graduate,Male,Somewhat liberal or progressive,Much more likely,Vote by absentee ballot,Housing,,The Democratic party,White,5,Very easy,Moderately familiar,Yes,Right direction,I have already voted,0.868864859
823,2,65+,Staten Island,,,2,1,,,,,,Four-year college graduate (bachelors degree),Female,Somewhat conservative,No change,Vote early in-person,Crime,,The Democratic party,White,5,Easy,Very familiar,Yes,Wrong track,I have already voted,0.519242993
961,2,55-64,Bronx,5,,1,,2,3,4,,,"Some college, but no degree",Female,Moderate,No change,Vote by absentee ballot,COVID-19/coronavirus,,The Democratic party,Black,5,Easy,Very familiar,Yes,Right direction,I have already voted,1.16535694
452,2,55-64,Brooklyn,5,3,,,2,,1,4,,Four-year college graduate (bachelors degree),Male,Very liberal or progressive,Somewhat more likely,Vote by absentee ballot,Housing,,The Democratic party,Other,5,Easy,Very familiar,Yes,Wrong track,I have already voted,0.555553493
782,2,55-64,Queens,,,2,4,,5,3,1,,"Some college, but no degree",Male,Moderate,No change,Vote by absentee ballot,Crime,,The Democratic party,Black,5,Easy,Very familiar,Yes,Not sure,I have already voted,1.479282717
610,2,65+,Manhattan,,,3,2,5,,1,4,,"Some college, but no degree",Male,Somewhat liberal or progressive,Much more likely,Vote early in-person,Police reform,,The Democratic party,Hispanic,5,Easy,Very familiar,Yes,Wrong track,I have already voted,1.122000825
725,2,65+,Queens,,,,1,,,,,,Graduate or professional degree,Female,Somewhat liberal or progressive,Much more likely,Vote early in-person,Education/Schools,,The Democratic party,White,5,Very easy,Very familiar,Yes,Right direction,I have already voted,0.93066762
585,1,18-34,Manhattan,5,4,,1,2,,3,,,Graduate or professional degree,Male,Somewhat liberal or progressive,Much more likely,Vote by absentee ballot,Jobs,,The Democratic party,Black,5,Very easy,Very familiar,Yes,Not sure,I have already voted,1.029060957
263,2,65+,Brooklyn,3,,1,,,2,,,,"Some college, but no degree",Male,Moderate,Somewhat less likely,Vote by absentee ballot,Crime,,The Democratic party,White,5,Easy,Moderately familiar,Yes,Wrong track,I have already voted,1.143439381
886,2,55-64,Bronx,,,2,,,3,1,,,"Some college, but no degree",Female,Somewhat liberal or progressive,Much more likely,Vote by absentee ballot,Homelessness,,The Democratic party,Black,5,Very easy,Very familiar,Yes,Right direction,I have already voted,1.16535694
485,2,55-64,Brooklyn,,,,2,1,,,,,Four-year college graduate (bachelors degree),Female,Very liberal or progressive,No change,Vote by absentee ballot,Something else (please specify),,The Democratic party,White,5,Easy,Very familiar,Yes,Not sure,I have already voted,0.834007843
