response_id,registered,party_reg,vote_intent,vote_method,right_track,rcv_familiarity,issue_focus,ccd_member,rcv_likelihood,rcv_difficulty,ideo_self_id,education,education_rollup,age,gender,ud,race_new,weight,1,2,3,4,5
R_8nYLktRZLl00dnb,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Moderately familiar,Something else (please specify),Steven Matteo (City Council District 50),Much more likely,Easy,Moderate,High school graduate,Less than college,35-54,Male,392252654,white,0.980282045,kepi,carr,pirozzolo,hafizi,sforza
R_ZdYe0S8Bx6IkDE5,Yes,The Republican party,I will definitely vote,not sure,Wrong track,Not sure,Healthcare,Steven Matteo (City Council District 50),Somewhat more likely,Very easy,Moderate,High school graduate,Less than college,18-34,Male,392830322,white,1.342650966,carr,kepi,sforza,pirozzolo,hafizi
R_3lMulybubihMDLB,Yes,The Republican party,I will definitely vote,in person on election day,Right direction,Not sure,Crime,Steven Matteo (City Council District 50),No change,Easy,Moderate,High school graduate,Less than college,65+,Male,392457826,white,1.422582225,carr,hafizi,sforza,kepi,pirozzolo
R_3Do4kMjng6ddVZv,Yes,The Republican party,I will definitely vote,in person on election day,Right direction,Moderately familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Moderate,"Some college, but no degree",Less than college,35-54,Male,392871251,asian,0.4235751,sforza,carr,kepi,pirozzolo,hafizi
R_1qggkoHy5QhWhhQ,Yes,The Republican party,I will definitely vote,early in person,Not sure,Moderately familiar,Crime,Steven Matteo (City Council District 50),Much less likely,Not sure,Moderate,"Some college, but no degree",Less than college,55-64,Female,392487841,white,1.020589884,pirozzolo,,,,
R_r6YwyDZXu0SU27n,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Very familiar,Housing,Steven Matteo (City Council District 50),Somewhat less likely,Very easy,Moderate,"Some college, but no degree",Less than college,55-64,Female,392517572,white,1.020589884,carr,pirozzolo,kepi,,
R_2ahSMWWPnBuyZqf,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Not too familiar,Education/Schools,Steven Matteo (City Council District 50),Somewhat less likely,Not sure,Not sure,Four-year college graduate (bachelors degree),Bachelors,55-64,Female,392628283,white,1.103428686,carr,pirozzolo,hafizi,,
R_3fAzgaIHWFMHjAz,Yes,The Republican party,I will definitely vote,early in person,Right direction,Very familiar,Crime,Steven Matteo (City Council District 50),Not sure,Not sure,Not sure,Graduate or professional degree,Graduate,35-54,Male,393040606,white,0.77788491,pirozzolo,,,,
R_1f6FEjmxAw6thy5,Yes,The Republican party,I will definitely vote,in person on election day,Right direction,Not familiar at all,Crime,Steven Matteo (City Council District 50),Much less likely,Hard,Somewhat conservative,Associates or other two-year degree,Less than college,35-54,Male,457120067,hispanic,0.864061318,kepi,pirozzolo,carr,sforza,hafizi
R_3dKZ1PyPKQnPgfP,Yes,The Republican party,I will definitely vote,not sure,Right direction,Moderately familiar,Crime,Steven Matteo (City Council District 50),Much more likely,Very easy,Somewhat conservative,Associates or other two-year degree,Less than college,35-54,Female,392133188,white,1.222508072,carr,hafizi,pirozzolo,sforza,
R_2P0xWMQN8k38tWu,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Moderately familiar,Crime,Steven Matteo (City Council District 50),Much more likely,Very easy,Somewhat conservative,Associates or other two-year degree,Less than college,35-54,Female,393072081,white,1.222508072,kepi,hafizi,,,
R_306oSLg0PH6VXyQ,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Not too familiar,Jobs,Steven Matteo (City Council District 50),Much more likely,Not sure,Somewhat conservative,First to eleventh grade,Less than college,65+,Female,392527414,white,1.774099873,pirozzolo,,,,
R_VHWzoCnHObQjn3j,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Not familiar at all,Transportation,Steven Matteo (City Council District 50),No change,Very easy,Somewhat conservative,Four-year college graduate (bachelors degree),Bachelors,35-54,Male,392386703,asian,0.457955662,kepi,hafizi,carr,sforza,pirozzolo
R_3n9p74p48ORVo4M,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Moderately familiar,Education/Schools,Steven Matteo (City Council District 50),No change,Easy,Somewhat conservative,Four-year college graduate (bachelors degree),Bachelors,35-54,Female,393069229,white,1.321736082,carr,hafizi,,,
R_2AXY122DClHDS8M,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Very familiar,Crime,Steven Matteo (City Council District 50),No change,Not sure,Somewhat conservative,Four-year college graduate (bachelors degree),Bachelors,55-64,Male,392126434,white,0.884796881,carr,kepi,,,
R_1fkOoY4jltXsiRJ,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Moderately familiar,Crime,Steven Matteo (City Council District 50),Much less likely,Very easy,Somewhat conservative,Four-year college graduate (bachelors degree),Bachelors,18-34,Male,392471040,white,1.451630683,kepi,,,,
R_3MbtzAmbeRcdDDz,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Not too familiar,Crime,Steven Matteo (City Council District 50),Somewhat less likely,Hard,Somewhat conservative,Graduate or professional degree,Graduate,55-64,Female,392512224,multiracial,0.349941083,kepi,pirozzolo,,,
R_3hmcMH1v1iSzBJ1,Yes,The Republican party,I will definitely vote,early in person,Right direction,Very familiar,Police reform,Steven Matteo (City Council District 50),No change,Very easy,Somewhat conservative,Graduate or professional degree,Graduate,65+,Male,392704633,white,1.128864138,pirozzolo,,,,
R_1mIcC1LfyhADDzJ,Yes,The Republican party,I will definitely vote,early in person,Right direction,Moderately familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Somewhat conservative,Graduate or professional degree,Graduate,65+,Male,392298276,white,1.128864138,,,,,
R_ulSyO5cannHkBkl,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Not too familiar,Crime,Steven Matteo (City Council District 50),No change,Very easy,Somewhat conservative,Graduate or professional degree,Graduate,55-64,Male,392518556,white,0.649403868,pirozzolo,carr,sforza,,
R_1P0svacW1OxtVlW,Yes,The Republican party,I will definitely vote,skipped,Not sure,Not too familiar,Education/Schools,Steven Matteo (City Council District 50),Much more likely,Easy,Somewhat conservative,Graduate or professional degree,Graduate,55-64,Female,392621287,white,0.809870459,kepi,hafizi,carr,sforza,pirozzolo
R_3h4k2ZaQHrJnZDY,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Moderately familiar,Transportation,Steven Matteo (City Council District 50),No change,Easy,Somewhat conservative,Graduate or professional degree,Graduate,35-54,Male,392116656,white,0.77788491,carr,sforza,hafizi,kepi,pirozzolo
R_2XoJytBCicGbT1b,Yes,The Republican party,I will definitely vote,early in person,Right direction,Very familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Somewhat conservative,Graduate or professional degree,Graduate,55-64,Male,392274818,white,0.649403868,pirozzolo,carr,sforza,kepi,hafizi
R_7Wcd6rTWxWwgsuZ,Yes,The Republican party,I will definitely vote,in person on election day,Right direction,Moderately familiar,Education/Schools,Steven Matteo (City Council District 50),No change,Very easy,Somewhat conservative,Graduate or professional degree,Graduate,35-54,Female,392238439,white,0.970098948,sforza,carr,pirozzolo,hafizi,kepi
R_TikJsaMDUzpjsVr,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Not too familiar,Crime,Steven Matteo (City Council District 50),No change,Hard,Somewhat conservative,Graduate or professional degree,Graduate,65+,Female,392486608,other,0.608305491,kepi,,,,
R_232dvg0q3x1B3xJ,Yes,The Republican party,I will definitely vote,early in person,Right direction,Moderately familiar,Homelessness,Steven Matteo (City Council District 50),Somewhat less likely,Easy,Somewhat conservative,Graduate or professional degree,Graduate,55-64,Female,392654764,other,0.349941083,kepi,,,,
R_2YycwB0AfV15Iru,Yes,The Republican party,I will definitely vote,in person on election day,Right direction,Moderately familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Somewhat conservative,High school graduate,Less than college,55-64,Male,392796625,white,0.818371643,carr,pirozzolo,kepi,sforza,hafizi
R_3qJ2dbB8MQ0EvSF,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Not familiar at all,Something else (please specify),Steven Matteo (City Council District 50),No change,Easy,Somewhat conservative,High school graduate,Less than college,55-64,Male,392414504,white,0.818371643,pirozzolo,hafizi,carr,kepi,
R_2Btws4jgWtpihaL,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Not sure,Education/Schools,Steven Matteo (City Council District 50),Somewhat less likely,Hard,Somewhat conservative,High school graduate,Less than college,65+,Male,392190933,white,1.422582225,kepi,sforza,pirozzolo,carr,hafizi
R_23VvmgzGz6jNn31,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Not familiar at all,Crime,Steven Matteo (City Council District 50),Much less likely,Very Hard,Somewhat conservative,"Some college, but no degree",Less than college,55-64,Male,392108685,white,0.818371643,sforza,kepi,carr,hafizi,pirozzolo
R_WDLbeHkjhwFhIgp,Yes,The Republican party,I will definitely vote,in person on election day,Right direction,Very familiar,Crime,Steven Matteo (City Council District 50),Much less likely,Easy,Somewhat conservative,"Some college, but no degree",Less than college,35-54,Male,392508018,white,0.980282045,sforza,pirozzolo,,,
R_214VNaI6OgC7V41,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Not familiar at all,Crime,Steven Matteo (City Council District 50),Somewhat more likely,Not sure,Somewhat conservative,Vocational or technical school,Less than college,65+,Male,392346489,white,1.422582225,pirozzolo,carr,hafizi,cc_other,sforza
R_1C8hAPQXs5Wsa5R,Yes,The Republican party,I will definitely vote,in person on election day,Right direction,Not too familiar,Crime,Steven Matteo (City Council District 50),No change,Not sure,Somewhat conservative,Vocational or technical school,Less than college,55-64,Male,392857212,white,0.818371643,kepi,,,,
R_2drQ9aVZdxVVp9g,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Moderately familiar,Crime,Steven Matteo (City Council District 50),Much more likely,Very Hard,Somewhat conservative,Vocational or technical school,Less than college,35-54,Female,392165686,other,0.528239787,carr,pirozzolo,hafizi,sforza,kepi
R_9NVcIT1DtedzdDj,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Very familiar,Crime,Steven Matteo (City Council District 50),No change,Not sure,Very conservative,Associates or other two-year degree,Less than college,65+,Male,392374672,white,1.422582225,hafizi,sforza,carr,kepi,pirozzolo
R_1Fm7tkFHUKNV8up,Yes,The Republican party,I will definitely vote,in person on election day,Right direction,Not sure,Crime,Steven Matteo (City Council District 50),No change,Not sure,Very conservative,Associates or other two-year degree,Less than college,55-64,Male,392816832,white,0.818371643,kepi,pirozzolo,sforza,hafizi,carr
R_2bPH7bAGe2crE8g,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Not too familiar,Crime,Steven Matteo (City Council District 50),No change,Not sure,Very conservative,Four-year college graduate (bachelors degree),Bachelors,35-54,Male,392565532,native,0.457955662,pirozzolo,kepi,sforza,carr,hafizi
R_3Hpt92RNYDNOY2q,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Not familiar at all,Crime,Steven Matteo (City Council District 50),Much more likely,Very easy,Very conservative,Four-year college graduate (bachelors degree),Bachelors,35-54,Male,469018860,asian,0.457955662,carr,pirozzolo,sforza,,
R_PuIz7teDbAZLzbz,Yes,The Republican party,I will definitely vote,early in person,Right direction,Very familiar,Crime,Steven Matteo (City Council District 50),No change,Not sure,Very conservative,Four-year college graduate (bachelors degree),Bachelors,18-34,Male,392858072,hispanic,1.279527588,kepi,sforza,carr,hafizi,pirozzolo
R_1ePNBTDV75Lzphg,Yes,The Republican party,I will definitely vote,in person on election day,Right direction,Moderately familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Very conservative,Four-year college graduate (bachelors degree),Bachelors,35-54,Male,392469132,white,1.059849158,carr,hafizi,,,
R_2uPUTtYnH29firU,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Not familiar at all,Crime,Steven Matteo (City Council District 50),Somewhat more likely,Very easy,Very conservative,Four-year college graduate (bachelors degree),Bachelors,55-64,Male,392920305,white,0.884796881,kepi,,,,
R_3nNT606pM0TgEQM,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Very familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Very conservative,Four-year college graduate (bachelors degree),Bachelors,55-64,Female,392683591,white,1.103428686,kepi,pirozzolo,hafizi,sforza,carr
R_1OJkDCDMh5VQZo8,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Moderately familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Very conservative,Graduate or professional degree,Graduate,18-34,Female,392100666,white,1.328703607,hafizi,,,,
R_R8kmTzxbHIa9lRL,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Moderately familiar,Something else (please specify),Steven Matteo (City Council District 50),Not sure,Easy,Very conservative,Graduate or professional degree,Graduate,35-54,Male,392277625,white,0.77788491,pirozzolo,carr,hafizi,kepi,
R_1EgFVK4DiefBwwR,Yes,The Republican party,I will definitely vote,early in person,Right direction,Moderately familiar,Crime,Steven Matteo (City Council District 50),No change,Very easy,Very conservative,High school graduate,Less than college,35-54,Male,392460124,black,0.4235751,pirozzolo,,,,
R_27K9P4yk7w0H4hx,Yes,The Republican party,I will definitely vote,not sure,Not sure,Not familiar at all,Homelessness,Steven Matteo (City Council District 50),Not sure,Not sure,Very conservative,High school graduate,Less than college,35-54,Male,392121019,white,0.980282045,kepi,,,,
R_2YK8QLl0yynSAKs,Yes,The Republican party,I will definitely vote,in person on election day,Right direction,Moderately familiar,Crime,Steven Matteo (City Council District 50),No change,Not sure,Very conservative,High school graduate,Less than college,65+,Female,392678823,white,1.774099873,pirozzolo,kepi,carr,hafizi,sforza
R_3iwNsWeFMQmQttX,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Not familiar at all,Crime,Steven Matteo (City Council District 50),Much more likely,Easy,Very conservative,High school graduate,Less than college,55-64,Male,392760051,white,0.818371643,carr,pirozzolo,kepi,sforza,hafizi
R_vJtcPhhhj0dznBD,Yes,The Republican party,I will definitely vote,early in person,Wrong track,Not familiar at all,Crime,Steven Matteo (City Council District 50),No change,Very easy,Very conservative,High school graduate,Less than college,65+,Male,392921116,white,1.422582225,pirozzolo,sforza,kepi,hafizi,
R_3ptl52SiQfH9Ub0,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Moderately familiar,Police reform,Steven Matteo (City Council District 50),Somewhat less likely,Hard,Very conservative,High school graduate,Less than college,18-34,Male,444812275,white,1.342650966,kepi,carr,sforza,pirozzolo,
R_ul7TeetMC9Lyb05,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Not too familiar,Transportation,Steven Matteo (City Council District 50),No change,Easy,Very conservative,"Some college, but no degree",Less than college,55-64,Male,392974969,white,0.818371643,pirozzolo,kepi,sforza,carr,hafizi
R_1mCQIXsC58gBeP5,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Moderately familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Very conservative,"Some college, but no degree",Less than college,55-64,Male,392313415,white,0.818371643,kepi,sforza,carr,pirozzolo,hafizi
R_2pKsqzWFa1w8252,Yes,The Republican party,I will definitely vote,in person on election day,Right direction,Not familiar at all,Something else (please specify),Steven Matteo (City Council District 50),Not sure,Not sure,Very conservative,"Some college, but no degree",Less than college,65+,Male,392668384,white,1.422582225,carr,kepi,pirozzolo,sforza,hafizi
R_27B93y3nDoRVxvH,Yes,The Republican party,I will definitely vote,in person on election day,Right direction,Not too familiar,Crime,Steven Matteo (City Council District 50),No change,Not sure,Very conservative,"Some college, but no degree",Less than college,35-54,Male,392969312,white,0.980282045,carr,pirozzolo,kepi,,
R_3s67msTUVRSH6HO,Yes,The Republican party,I will definitely vote,in person on election day,Right direction,Moderately familiar,Education/Schools,Steven Matteo (City Council District 50),Not sure,Very easy,Very conservative,Vocational or technical school,Less than college,35-54,Male,444814433,hispanic,0.864061318,pirozzolo,kepi,,,
R_2DTvFCNHJNO7C3f,Yes,The Republican party,I will definitely vote,in person on election day,Right direction,Not familiar at all,Crime,Steven Matteo (City Council District 50),Much less likely,Easy,Very conservative,Vocational or technical school,Less than college,18-34,Male,392197448,not sure,0.580152946,pirozzolo,hafizi,carr,sforza,kepi
R_1GPxiMv8tpsLB0e,Yes,The Republican party,I will probably vote,in person on election day,Wrong track,Moderately familiar,Education/Schools,Steven Matteo (City Council District 50),Much more likely,Very easy,Moderate,Four-year college graduate (bachelors degree),Bachelors,65+,Male,393055547,white,1.538049768,cc_other,,,,
R_3s1ySrjIiwr83q4,Yes,The Republican party,I will probably vote,in person on election day,Right direction,Not familiar at all,Homelessness,Steven Matteo (City Council District 50),No change,Very easy,Moderate,Graduate or professional degree,Graduate,55-64,Male,392564388,white,0.649403868,pirozzolo,sforza,,,
R_29uL2zJdGcElCzI,Yes,The Republican party,I will probably vote,skipped,Not sure,Moderately familiar,Something else (please specify),Steven Matteo (City Council District 50),Somewhat more likely,Not sure,Moderate,High school graduate,Less than college,65+,Female,392468159,white,1.774099873,pirozzolo,,,,
R_3OctP192GvgeB6k,Yes,The Republican party,I will probably vote,in person on election day,Wrong track,Not too familiar,Crime,Steven Matteo (City Council District 50),No change,Not sure,Moderate,"Some college, but no degree",Less than college,35-54,Female,392839931,white,1.222508072,kepi,pirozzolo,carr,sforza,hafizi
R_3oZO3GZI5vu5JO9,Yes,The Republican party,I will probably vote,in person on election day,Right direction,Not familiar at all,Education/Schools,Steven Matteo (City Council District 50),No change,Easy,Somewhat conservative,Four-year college graduate (bachelors degree),Bachelors,18-34,Female,392527409,white,1.810326156,pirozzolo,hafizi,,,
R_eLj0Jih5wypkwIp,Yes,The Republican party,I will probably vote,in person on election day,Not sure,Not familiar at all,Police reform,Steven Matteo (City Council District 50),Much more likely,Very easy,Somewhat conservative,Four-year college graduate (bachelors degree),Bachelors,65+,Male,392244708,white,1.538049768,hafizi,pirozzolo,,,
R_1pQB78gyKrwANRl,Yes,The Republican party,I will probably vote,in person on election day,Right direction,Moderately familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Somewhat conservative,Graduate or professional degree,Graduate,18-34,Female,392777542,hispanic,1.171174557,kepi,pirozzolo,hafizi,carr,sforza
R_ah3wNJ3gCFobajD,Yes,The Republican party,I will probably vote,early in person,Wrong track,Moderately familiar,Education/Schools,Steven Matteo (City Council District 50),No change,Not sure,Somewhat conservative,Graduate or professional degree,Graduate,55-64,Female,392321968,white,0.809870459,hafizi,pirozzolo,sforza,,
R_3LXViLWRolod9Qs,Yes,The Republican party,I will probably vote,in person on election day,Not sure,Not too familiar,Healthcare,Steven Matteo (City Council District 50),No change,Very easy,Somewhat conservative,"Some college, but no degree",Less than college,65+,Male,392705006,white,1.422582225,kepi,carr,sforza,,
